,file_name,relative_freq_adj,relative_freq_verb,relative_freq_noun,relative_freq_adv,final_person,final_location,final_org
34,4045.a4.txt,554.49,1089.87,1462.72,1462.72,31,0,1
35,0108.a4.txt,538.32,1368.61,1450.73,1450.73,33,0,0
36,0204.a4.txt,536.13,1095.57,1445.22,1445.22,30,0,5
37,0222.a4.txt,656.93,1209.59,1710.11,1710.11,5,0,1
38,0219.a4.txt,677.97,1197.03,1250.0,1250.0,23,0,7
39,1012.a4.txt,776.89,936.25,1762.95,1762.95,17,0,8
40,0194.a4.txt,576.34,1162.79,1708.8,1708.8,14,0,5
41,1076.a4.txt,573.7,1059.14,1535.75,1535.75,29,0,1
42,0235.a4.txt,668.08,1166.49,1442.21,1442.21,26,0,5
43,2072.a4.txt,631.07,1174.76,1699.03,1699.03,11,0,8
44,0227.a4.txt,364.34,1069.77,1751.94,1751.94,38,0,6
45,0224.a4.txt,650.41,1131.96,1282.05,1282.05,12,0,23
46,1095.a4.txt,719.1,1134.83,1550.56,1550.56,25,0,2
47,0192.a4.txt,433.4,1205.07,1754.76,1754.76,5,0,2
48,0121.a4.txt,576.76,1077.18,1450.38,1450.38,46,0,8
49,2011.a4.txt,734.46,941.62,1770.24,1770.24,27,0,2
50,1014.a4.txt,561.22,1295.92,1397.96,1397.96,22,0,3
51,0112.a4.txt,535.53,1194.64,1431.51,1431.51,4,0,17
52,2000.a4.txt,621.12,952.38,1790.89,1790.89,35,0,1
53,2007.a4.txt,495.95,1123.48,1386.64,1386.64,12,0,11
54,0169.a4.txt,708.83,1297.71,1461.29,1461.29,5,0,1
55,1017.a4.txt,762.84,1042.3,1548.34,1548.34,13,0,1
56,0205.a4.txt,460.42,1058.16,1405.49,1405.49,42,0,4
57,1094.a4.txt,571.43,1174.6,1195.77,1195.77,26,0,0
58,0215.a4.txt,562.7,972.67,1792.6,1792.6,6,0,6
59,5009.a4.txt,697.37,1039.47,1427.63,1427.63,39,0,1
60,2035.a4.txt,379.75,1139.24,1499.51,1499.51,9,0,3
61,1102.a4.txt,821.78,1108.91,1386.14,1386.14,19,0,2
62,1048.a4.txt,522.99,1316.5,1424.71,1424.71,36,0,3
63,0187.a4.txt,542.04,1327.43,1338.5,1338.5,9,0,13
64,4030.a4.txt,458.8,1348.31,1367.04,1367.04,15,0,2
65,2065.a4.txt,569.03,1194.03,1007.46,1007.46,10,0,3
66,1003.a4.txt,622.08,1073.09,1897.36,1897.36,6,0,5
67,2031.a4.txt,699.43,964.08,1550.09,1550.09,35,0,11
68,2038.a4.txt,595.61,971.79,1776.38,1776.38,25,0,3
69,1049.a4.txt,809.13,1275.93,1390.04,1390.04,27,0,0
70,1066.a4.txt,760.65,963.49,1703.85,1703.85,25,0,2
71,2059.a4.txt,604.29,984.41,1520.47,1520.47,23,0,7
72,2069.a4.txt,578.51,1342.98,1404.96,1404.96,18,0,3
73,0206.a4.txt,619.9,1052.2,1109.3,1109.3,13,0,14
74,1036.a4.txt,580.87,1161.73,1605.92,1605.92,24,0,3
75,2066.a4.txt,695.12,1097.56,1682.93,1682.93,46,0,2
76,1098.a4.txt,560.25,1099.37,1384.78,1384.78,20,0,1
77,2050.a4.txt,638.95,1105.48,1430.02,1430.02,29,0,1
78,2074.a4.txt,571.97,1286.94,1439.47,1439.47,17,0,5
79,1060.a4.txt,1026.18,921.47,1664.92,1664.92,18,0,1
80,0165.a4.txt,380.78,1024.48,1858.57,1858.57,10,0,7
81,3003.a4.txt,716.69,1104.55,1812.82,1812.82,30,0,1
82,0137.a4.txt,518.76,1004.42,1799.12,1799.12,6,0,7
83,0156.a4.txt,525.69,1266.43,1266.43,1266.43,3,0,6
84,1057.a4.txt,503.41,1203.07,1322.53,1322.53,15,0,6
